breadcrumbs,name,brand,listing_price,offer_price,discount,image,id,size,product_description,url
"Men,Designers,Sacai,Shoes,Derby Shoes",,Leather platform Derby shoes, , ,30% off,"https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/ec/P00892651.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/ec/P00892651_b1.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/ec/P00892651_b2.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/ec/P00892651_d1.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/ec/P00892651_d2.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/ec/P00892651_d3.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/ec/P00892651_d4.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/ec/P00892651.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/ec/P00892651_b1.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/ec/P00892651_b2.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/ec/P00892651_d1.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/ec/P00892651_d2.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/ec/P00892651_d3.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/ec/P00892651_d4.jpg",,,"Upper: calf leather,Lining: leather,Sole: leather insole, rubber sole,Toe shape: round toe,Made in Japan,Includes: shoe box, dust bag,Item number: P00892651,True to size,Half sizes please take the next size down,European sizes,8,5cm-3.5"" platform,Consult our ",https://www.mytheresa.com/int/en/men/sacai-leather-platform-derby-shoes-black-p00892651
"Men,Designers,Tom Ford,Shoes,Sneakers,Low-Top",,Cambridge suede sneakers, , ,40% off,"https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/79/P00885387.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/79/P00885387_b1.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/79/P00885387_b2.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/79/P00885387_d1.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/79/P00885387_d2.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/79/P00885387_d3.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/79/P00885387_d4.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/79/P00885387.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/79/P00885387_b1.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/79/P00885387_b2.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/79/P00885387_d1.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/79/P00885387_d2.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/79/P00885387_d3.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/79/P00885387_d4.jpg",Closure: lace-up,,"Upper: calf leather,Lining: leather,Sole: leather insole, rubber sole,Toe shape: round toe,Made in Italy,Includes: shoe box, dust bag,Designer color name: Beech Green+Cream,Closure: lace-up,Item number: P00885387,True to size,Half sizes please take the next size down,UK sizes,Consult our ",https://www.mytheresa.com/int/en/men/tom-ford-cambridge-suede-sneakers-green-p00885387
"Men,Designers,Brunello Cucinelli,Shoes,Formal shoes,Brogues",,Suede longwing brogues, , ,30% off,"https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/94/P00895833.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/94/P00895833_b1.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/94/P00895833_b2.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/94/P00895833_d1.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/94/P00895833_d2.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/94/P00895833_d3.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/94/P00895833_d4.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/94/P00895833.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/94/P00895833_b1.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/94/P00895833_b2.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/94/P00895833_d1.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/94/P00895833_d2.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/94/P00895833_d3.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/94/P00895833_d4.jpg",Item number: P00895833,,"Upper: suede,Lining: leather,Sole: leather insole, leather and rubber sole,Toe shape: round toe,Made in Italy,Includes: shoe box, dust bags,Closure: lace-up,Item number: P00895833,True to size,Half sizes please take the next size down,European sizes,Consult our ",https://www.mytheresa.com/int/en/men/brunello-cucinelli-suede-longwing-brogues-brown-p00895833
"Men,Designers,Acne Studios,Shoes,Sneakers,Low-Top",,Low-top leather sneakers, , ,40% off,"https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/28/P00882163.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/28/P00882163_b1.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/28/P00882163_b2.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/28/P00882163_d1.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/28/P00882163_d2.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/28/P00882163_d3.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/28/P00882163_d4.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/28/P00882163.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/28/P00882163_b1.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/28/P00882163_b2.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/28/P00882163_d1.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/28/P00882163_d2.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/28/P00882163_d3.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/28/P00882163_d4.jpg",Item number: P00882163,,"Upper: calf leather,Lining: fabric,Sole: fabric insole, rubber sole,Toe shape: round toe,Made in Italy,Includes: shoe box, dust bags,Closure: lace-up,Item number: P00882163,True to size,Half sizes please take the next size up,European sizes,Consult our ",https://www.mytheresa.com/int/en/men/acne-studios-low-top-leather-sneakers-white-p00882163
"Men,Designers,Acne Studios,Shoes,Sneakers,Low-Top",,Perey Cities leather sneakers, , ,30% off,"https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/bf/P00880726.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/bf/P00880726_b1.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/bf/P00880726_b2.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/bf/P00880726_d1.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/bf/P00880726_d2.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/bf/P00880726_d3.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/bf/P00880726_d4.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/bf/P00880726.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/bf/P00880726_b1.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/bf/P00880726_b2.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/bf/P00880726_d1.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/bf/P00880726_d2.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/bf/P00880726_d3.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/bf/P00880726_d4.jpg",Closure: VELCRO® fastening,,"Upper: calf leather,Lining: fabric,Sole: fabric insole, rubber sole,Toe shape: round toe,Made in Italy,Includes: shoe box, dust bag,Designer color name: Midnight Blue,Closure: VELCRO® fastening,Item number: P00880726,True to size,Half sizes please take the next size up,European sizes,Consult our ",https://www.mytheresa.com/int/en/men/acne-studios-perey-cities-leather-sneakers-blue-p00880726
"Men,Designers,Brunello Cucinelli,Shoes,Espadrilles",,Suede espadrilles, , ,30% off,"https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/da/P00895835.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/da/P00895835_b1.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/da/P00895835_b2.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/da/P00895835_d1.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/da/P00895835_d2.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/da/P00895835_d3.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/da/P00895835_d4.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/da/P00895835.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/da/P00895835_b1.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/da/P00895835_b2.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/da/P00895835_d1.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/da/P00895835_d2.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/da/P00895835_d3.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/da/P00895835_d4.jpg",Item number: P00895835,,"Upper: goat leather,Lining: goat leather,Sole: fabric insole, rubber sole,Toe shape: almond toe,Made in Italy,Includes: shoe box, dust bag,Designer color name: 8051 + 8049,Item number: P00895835,True to size,Half sizes please take the next size up,European sizes,Consult our ",https://www.mytheresa.com/int/en/men/brunello-cucinelli-suede-espadrilles-beige-p00895835
"Men,Designers,Tom Ford,Shoes,Espadrilles",,Barnes suede espadrilles, , ,40% off,"https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/21/P00885620.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/21/P00885620_b1.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/21/P00885620_b2.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/21/P00885620_d1.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/21/P00885620_d2.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/21/P00885620_d3.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/21/P00885620_d4.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/21/P00885620.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/21/P00885620_b1.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/21/P00885620_b2.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/21/P00885620_d1.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/21/P00885620_d2.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/21/P00885620_d3.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/21/P00885620_d4.jpg",Trim: jute,,"Upper: calf leather,Lining: leather,Sole: leather insole, rubber sole,Toe shape: round toe,Made in Spain,Includes: dust bags, shoe box,Designer color name: Tobacco + Ecru,Trim: jute,Item number: P00885620,Fits small to size - we recommend trying one size larger,UK sizes,Consult our ",https://www.mytheresa.com/int/en/men/tom-ford-barnes-suede-espadrilles-brown-p00885620
"Men,Designers,Valentino Garavani,Shoes,Formal shoes,Derby",,Leather Derby shoes, , ,30% off,"https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/e8/P00882634.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/e8/P00882634_b1.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/e8/P00882634_b2.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/e8/P00882634_d1.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/e8/P00882634_d2.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/e8/P00882634_d3.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/e8/P00882634_d4.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/e8/P00882634.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/e8/P00882634_b1.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/e8/P00882634_b2.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/e8/P00882634_d1.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/e8/P00882634_d2.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/e8/P00882634_d3.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/e8/P00882634_d4.jpg",Item number: P00882634,,"Upper: leather,Lining: leather,Sole: leather insole, rubber sole,Toe shape: round toe,Made in Italy,Includes: shoe box, dust bags,Closure: lace-up,Item number: P00882634,True to size,Half sizes please take the next size down,European sizes,Consult our ",https://www.mytheresa.com/int/en/men/valentino-garavani-leather-derby-shoes-black-p00882634
"Men,Designers,Brunello Cucinelli,Shoes,Sandals & slides",,Suede sandals, , ,30% off,"https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/7c/P00895849.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/7c/P00895849_b1.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/7c/P00895849_b2.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/7c/P00895849_d1.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/7c/P00895849_d2.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/7c/P00895849_d3.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/7c/P00895849_d4.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/7c/P00895849.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/7c/P00895849_b1.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/7c/P00895849_b2.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/7c/P00895849_d1.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/7c/P00895849_d2.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/7c/P00895849_d3.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/7c/P00895849_d4.jpg",Item number: P00895849,,"Upper: suede,Lining: leather,Sole: leather insole, rubber sole,Toe shape: round open toe,Made in Italy,Includes: shoe box, dust bags,Designer color name: Zaffiro,Item number: P00895849,True to size,Half sizes please take the next size up,European sizes,Consult our ",https://www.mytheresa.com/int/en/men/brunello-cucinelli-suede-sandals-blue-p00895849
"Men,Designers,Tom Ford,Shoes,Formal shoes,Oxford",,Elkan leather Oxford shoes, , ,40% off,"https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/d9/P00885653.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/d9/P00885653_b1.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/d9/P00885653_b2.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/d9/P00885653_d1.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/d9/P00885653_d2.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/d9/P00885653_d3.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/d9/P00885653_d4.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/d9/P00885653.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/d9/P00885653_b1.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/d9/P00885653_b2.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/d9/P00885653_d1.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/d9/P00885653_d2.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/d9/P00885653_d3.jpg,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/d9/P00885653_d4.jpg",Closure: lace-up,,"Upper: leather,Lining: leather,Sole: leather insole and sole,Toe shape: almond toe,Made in Italy,Includes: shoe box, dust bags,Designer color name: Bruno,Closure: lace-up,Item number: P00885653,True to size,Half sizes please take the next size up,UK sizes,Consult our ",https://www.mytheresa.com/int/en/men/tom-ford-elkan-leather-oxford-shoes-brown-p00885653
